,Date Time,Tick Number,Open,High,Low,Close,Cumulative Volume,Cumulative Buy Volume,Cumulative Sell Volume,Cumulative Ticks,Cumulative Dollar Value,Threshold,VPIN
5175,2023/01/17 12:08:31.000,337443,14670.0,14700.0,14670.0,14680.0,1048530.0,569294.0,479236.0,89,15391676060.0,1000000,0.08588976948680534
5176,2023/01/17 12:11:12.000,337534,14680.0,14690.0,14590.0,14600.0,1027214.0,244705.0,782509.0,91,15037976490.0,1000000,0.5235559484197061
5177,2023/01/17 12:12:12.000,337597,14600.0,14600.0,14540.0,14540.0,1079127.0,267250.0,811877.0,63,15717086490.0,1000000,0.5046922188027915
5178,2023/01/17 12:14:05.000,337679,14540.0,14560.0,14510.0,14520.0,1029351.0,516293.0,513058.0,82,14954768340.0,1000000,0.0031427569410240044
5179,2023/01/17 12:19:52.000,337791,14520.0,14580.0,14520.0,14570.0,1009460.0,421203.0,588257.0,112,14688835440.0,1000000,0.16548847898876626
5180,2023/01/17 12:20:38.000,337853,14570.0,14570.0,14520.0,14520.0,1095448.0,147322.0,948126.0,62,15930296020.0,1000000,0.7310287663129605
5181,2023/01/17 12:21:15.000,337914,14520.0,14530.0,14500.0,14500.0,1008644.0,174563.0,834081.0,61,14640170670.0,1000000,0.6538659824477219
5182,2023/01/17 12:22:08.000,337989,14500.0,14510.0,14500.0,14500.0,1002777.0,117578.0,885199.0,75,14541442280.0,1000000,0.7654952197746857
5183,2023/01/17 12:24:08.000,338074,14500.0,14530.0,14500.0,14510.0,1001171.0,277631.0,723540.0,85,14526912030.0,1000000,0.4453874512945341
5184,2023/01/17 12:25:02.000,338143,14510.0,14520.0,14500.0,14500.0,1080916.0,72822.0,1008094.0,69,15676275010.0,1000000,0.8652587250073086
5185,2023/01/17 12:26:01.000,338280,14500.0,14500.0,14450.0,14480.0,1071629.0,288870.0,782759.0,137,15516681470.0,1000000,0.46087685197022477
5186,2023/01/17 12:27:27.000,338340,14460.0,14480.0,14450.0,14480.0,1048009.0,433296.0,614713.0,60,15158594720.0,1000000,0.1731063378272515
5187,2023/01/17 12:28:26.000,338413,14480.0,14480.0,14450.0,14450.0,1005876.0,301784.0,704092.0,73,14544547450.0,1000000,0.3999578476869912
5188,2023/01/17 12:29:18.000,338519,14450.0,14470.0,14420.0,14420.0,1001472.0,378237.0,623235.0,106,14466571590.0,1000000,0.2446378930214724
5189,2023/01/17 12:29:33.000,338601,14420.0,14450.0,14400.0,14450.0,1001066.0,268512.0,732554.0,82,14438718630.0,1000000,0.4635478579833897
5190,2023/01/18 09:03:00.000,338664,14440.0,14480.0,14400.0,14480.0,1003189.0,915196.0,87993.0,63,14514799880.0,1000000,0.8245734353147811
